QUERY_ID	COG_ID	CDD_ID	EVALUE	IDENTITY	GENE_NAME	COG_NAME	COG_LETTER	COG_DESCRIPTION
NIDLIJIB_00026	COG1506	441115	5.69e-32	24.901	DAP2	Dipeptidyl aminopeptidase/acylaminoacyl peptidase	E	Amino acid transport and metabolism
NIDLIJIB_00027	COG1349	440960	3.81e-82	32.549	GlpR	DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family	K	Transcription
NIDLIJIB_00028	COG2220	441822	1.66e-47	25.769	UlaG	L-ascorbate lactonase UlaG, metallo-beta-lactamase superfamily	G	Carbohydrate transport and metabolism
NIDLIJIB_00029	COG3037	442271	4.29e-144	36.697	UlaA	Ascorbate-specific PTS system IIC component UlaA	G	Carbohydrate transport and metabolism
NIDLIJIB_00030	COG3414	442640	2.92e-27	35.484	SgaB	Phosphotransferase system, galactitol-specific IIB component	G	Carbohydrate transport and metabolism
NIDLIJIB_00031	COG1762	441368	7.04e-41	32.68	PtsN	Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)	G	Carbohydrate transport and metabolism
NIDLIJIB_00032	COG0269	440039	1.41e-90	43.256	UlaD	3-keto-L-gulonate-6-phosphate decarboxylase	G	Carbohydrate transport and metabolism
NIDLIJIB_00033	COG3623	442841	0.0	64.0	SgaU	L-ribulose-5-phosphate 3-epimerase UlaE	G	Carbohydrate transport and metabolism
NIDLIJIB_00034	COG0235	440005	3.31e-76	35.455	AraD	5-methylthioribulose/5-deoxyribulose/Fuculose 1-phosphate aldolase (methionine salvage, sugar degradation)	E	Amino acid transport and metabolism
NIDLIJIB_00036	COG0360	440129	2.97e-53	48.598	RpsF	Ribosomal protein S6	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00037	COG2965	442205	4.83e-49	47.525	PriB	Primosomal replication protein N	L	Replication, recombination and repair
NIDLIJIB_00038	COG0238	440008	2.1e-39	63.014	RpsR	Ribosomal protein S18	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00039	COG0359	440128	2.04e-71	58.389	RplI	Ribosomal protein L9	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00040	COG1638	441245	4.74e-117	37.082	DctP	TRAP-type C4-dicarboxylate transport system, periplasmic component	G	Carbohydrate transport and metabolism
NIDLIJIB_00041	COG1593	441201	1.55e-151	47.307	DctQ	TRAP-type C4-dicarboxylate transport system, large permease component	G	Carbohydrate transport and metabolism
NIDLIJIB_00042	COG3090	442324	3.29e-31	30.323	DctM	TRAP-type C4-dicarboxylate transport system, small permease component YiaM	G	Carbohydrate transport and metabolism
NIDLIJIB_00043	COG1053	440673	1.07e-27	22.449	SdhA	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit	C	Energy production and conversion
NIDLIJIB_00044	COG4670	443707	0.0	51.569	YdiF	Acyl CoA:acetate/3-ketoacid CoA transferase	I	Lipid transport and metabolism
NIDLIJIB_00045	COG1024	440647	6.76e-65	35.95	CaiD	Enoyl-CoA hydratase/carnithine racemase	I	Lipid transport and metabolism
NIDLIJIB_00046	COG1082	440699	5.24e-47	24.314	YcjR	Sugar phosphate isomerase/epimerase	G	Carbohydrate transport and metabolism
NIDLIJIB_00047	COG1028	440651	1.25e-55	32.296	FabG	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	I	Lipid transport and metabolism
NIDLIJIB_00048	COG1309	440920	1.78e-26	27.922	AcrR	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA	K	Transcription
NIDLIJIB_00049	COG3061	442295	2.96e-45	30.89	OapA	Cell division protein YtfB/OapA (opacity-associated protein A)	D	Cell cycle control, cell division, chromosome partitioning
NIDLIJIB_00050	COG0545	440311	6.64e-56	64.423	FkpA	FKBP-type peptidyl-prolyl cis-trans isomerase	O	Posttranslational modification, protein turnover, chaperones
NIDLIJIB_00051	COG1113	440730	0.0	50.769	AnsP	L-asparagine transporter or related permease	E	Amino acid transport and metabolism
NIDLIJIB_00054	COG2846	442094	5.89e-103	49.345	RIC	Iron-sulfur cluster repair protein YtfE, RIC family, contains ScdAN and hemerythrin domains	O	Posttranslational modification, protein turnover, chaperones
NIDLIJIB_00055	COG0697	440461	5.25e-32	24.204	EamA	Amino acid export permease, drug/metabolite transporter (DMT) superfamily	E	Amino acid transport and metabolism
NIDLIJIB_00056	COG0702	440466	3.13e-61	40.278	YbjT	Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains	R	General function prediction only
NIDLIJIB_00057	COG1733	441339	1.85e-44	46.729	HxlR	DNA-binding transcriptional regulator, HxlR family	K	Transcription
NIDLIJIB_00058	COG0737	440500	4.26e-158	30.125	UshA	2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family	F	Nucleotide transport and metabolism
NIDLIJIB_00059	COG1218	440831	1.15e-135	51.515	CysQ	3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase	P	Inorganic ion transport and metabolism
NIDLIJIB_00060	COG3054	442288	8.25e-124	67.568	YtfJ	Predicted transcriptional regulator YtfJ	R	General function prediction only
NIDLIJIB_00062	COG1253	440865	3.67e-163	35.172	MpfA	Mg2+ efflux pump MpfA, contains CBS pair and CorC-HlyC domains, TlyC/UPF0053 family	P	Inorganic ion transport and metabolism
NIDLIJIB_00063	COG0225	439995	2.07e-106	61.538	MsrA	Peptide methionine sulfoxide reductase MsrA	O	Posttranslational modification, protein turnover, chaperones
NIDLIJIB_00064	COG0729	440493	0.0	39.792	TamA	Outer membrane translocation and assembly module TamA	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00065	COG2911	442155	0.0	32.332	TamB	Autotransporter translocation and assembly protein TamB	U	Intracellular trafficking, secretion, and vesicular transport
NIDLIJIB_00066	COG2105	441708	3.15e-46	44.348	YtfP	Predicted gamma-glutamylamine cyclotransferase YtfP, GGCT/AIG2-like family	E	Amino acid transport and metabolism
NIDLIJIB_00067	COG2336	441907	9.2e-28	38.095	MazE	Antitoxin component MazE of the MazEF toxin-antitoxin module	V	Defense mechanisms
NIDLIJIB_00068	COG2337	441908	4.29e-24	40.566	MazF	mRNA-degrading endonuclease MazF, toxin component of the MazEF toxin-antitoxin module	V	Defense mechanisms
NIDLIJIB_00069	COG0221	439991	3.52e-108	60.227	Ppa	Inorganic pyrophosphatase	C	Energy production and conversion
NIDLIJIB_00070	COG1879	441483	6.14e-79	34.323	RbsB	ABC-type sugar transport system, periplasmic component, contains N-terminal xre family HTH domain	G	Carbohydrate transport and metabolism
NIDLIJIB_00071	COG1129	440745	0.0	48.171	MglA	ABC-type sugar transport system, ATPase component	G	Carbohydrate transport and metabolism
NIDLIJIB_00072	COG1172	440785	3.74e-70	47.059	AraH	Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component	G	Carbohydrate transport and metabolism
NIDLIJIB_00073	COG1172	440785	4.57e-85	41.424	AraH	Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component	G	Carbohydrate transport and metabolism
NIDLIJIB_00074	COG0158	439928	0.0	58.036	Fbp	Fructose-1,6-bisphosphatase	G	Carbohydrate transport and metabolism
NIDLIJIB_00075	COG0773	440536	0.0	40.435	MurC	UDP-N-acetylmuramate-alanine ligase MurC and related ligases, MurC/Mpl family	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00076	COG3028	442264	4.1e-78	57.862	YjgA	Ribosomal 50S subunit-associated protein DarP/YjgA, DUF615 family	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00077	COG0312	440081	4.72e-174	41.722	TldD	Zn-dependent protease or N-deacetylase, PmbA/TldD/TldE family	O	Posttranslational modification, protein turnover, chaperones
NIDLIJIB_00078	COG3783	442997	6.16e-61	72.656	CybC	Soluble cytochrome b562	C	Energy production and conversion
NIDLIJIB_00079	COG1180	440793	1.11e-12	23.913	PflA	Pyruvate-formate lyase-activating enzyme	O	Posttranslational modification, protein turnover, chaperones
NIDLIJIB_00080	COG1328	440939	0.0	47.316	NrdD	Anaerobic ribonucleoside-triphosphate reductase	F	Nucleotide transport and metabolism
NIDLIJIB_00081	COG0366	440135	0.0	46.336	AmyA	Glycosidase/amylase (phosphorylase)	G	Carbohydrate transport and metabolism
NIDLIJIB_00082	COG1263	440875	1.14e-94	31.579	PtsG1	Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific	G	Carbohydrate transport and metabolism
NIDLIJIB_00083	COG1609	441217	1.26e-72	29.664	PurR	DNA-binding transcriptional regulator, LacI/PurR family	K	Transcription
NIDLIJIB_00084	COG0474	440242	0.0	37.003	MgtA	Magnesium-transporting ATPase (P-type)	P	Inorganic ion transport and metabolism
NIDLIJIB_00085	COG0251	440021	3.5e-55	46.875	RidA	Enamine deaminase RidA/Endoribonuclease Rid7C, YjgF/YER057c/UK114 family	V	Defense mechanisms
NIDLIJIB_00086	COG1781	441387	2.2e-84	50.658	PyrI	Aspartate carbamoyltransferase, regulatory subunit	F	Nucleotide transport and metabolism
NIDLIJIB_00087	COG0540	440306	6.48e-156	44.937	PyrB	Aspartate carbamoyltransferase, catalytic subunit	F	Nucleotide transport and metabolism
NIDLIJIB_00088	COG0251	440021	1.47e-34	42.342	RidA	Enamine deaminase RidA/Endoribonuclease Rid7C, YjgF/YER057c/UK114 family	V	Defense mechanisms
NIDLIJIB_00089	COG1028	440651	1.52e-61	37.2	FabG	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	I	Lipid transport and metabolism
NIDLIJIB_00090	COG1309	440920	1.28e-14	21.898	AcrR	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA	K	Transcription
NIDLIJIB_00091	COG2731	442037	1.12e-60	38.406	NanQ	N-acetylneuraminate anomerase NanQ, YhcH/YjgK/YiaL family	G	Carbohydrate transport and metabolism
NIDLIJIB_00094	COG0078	439848	0.0	48.649	ArgF	Ornithine carbamoyltransferase	E	Amino acid transport and metabolism
NIDLIJIB_00095	COG3076	442310	5.72e-61	75.439	RraB	Regulator of RNase E activity RraB	A	RNA processing and modification
NIDLIJIB_00096	COG1246	440859	4.04e-30	30.0	ArgA	N-acetylglutamate synthase or related acetyltransferase, GNAT family	E	Amino acid transport and metabolism
NIDLIJIB_00097	COG4269	443410	8.51e-71	28.141	YjgN	Uncharacterized membrane protein YjgN, DUF898 family	S	Function unknown
NIDLIJIB_00098	COG0525	440291	0.0	58.483	ValS	Valyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00099	COG2927	442171	5.81e-59	40.559	HolC	DNA polymerase III, chi subunit	L	Replication, recombination and repair
NIDLIJIB_00100	COG0260	440030	0.0	48.708	PepB	Leucyl aminopeptidase	E	Amino acid transport and metabolism
NIDLIJIB_00101	COG0795	440558	3.81e-68	33.702	LptF	Lipopolysaccharide export LptBFGC system, permease protein LptF	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00102	COG0795	440558	4.87e-97	34.551	LptF	Lipopolysaccharide export LptBFGC system, permease protein LptF	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00103	COG0433	440202	9.39e-110	41.266	CedB	Crenarchaeal DNA import helicase CedB/HerA or a related bacterial ATPase	L	Replication, recombination and repair
NIDLIJIB_00104	COG1609	441217	1.35e-97	33.435	PurR	DNA-binding transcriptional regulator, LacI/PurR family	K	Transcription
NIDLIJIB_00105	COG2610	442022	3.88e-138	42.889	GntT	H+/gluconate symporter GntT or related permease, GntP/DsdX family	G	Carbohydrate transport and metabolism
NIDLIJIB_00106	COG1028	440651	1.9e-97	39.919	FabG	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	I	Lipid transport and metabolism
NIDLIJIB_00107	COG1063	440683	3.55e-105	36.875	Tdh	Threonine dehydrogenase or related Zn-dependent dehydrogenase	E	Amino acid transport and metabolism
NIDLIJIB_00108	COG3265	442496	1.56e-90	48.765	GntK	Gluconate kinase	G	Carbohydrate transport and metabolism
NIDLIJIB_00109	COG1064	440684	2.74e-127	38.806	AdhP	D-arabinose 1-dehydrogenase, Zn-dependent alcohol dehydrogenase family	G	Carbohydrate transport and metabolism
NIDLIJIB_00111	COG0582	440347	3.35e-151	48.768	FimB	Integrase/recombinase, includes phage integrase	L	Replication, recombination and repair
NIDLIJIB_00112	COG2194	441797	2.14e-21	24.538	OpgE	Phosphoethanolamine transferase for periplasmic glucans OpgE, AlkP superfamily	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00113	COG3385	442612	2.57e-91	20.698	InsG	IS4 transposase InsG	X	Mobilome: prophages, transposons
NIDLIJIB_00114	COG2271	441872	1.51e-46	22.938	UhpC	Sugar phosphate permease	G	Carbohydrate transport and metabolism
NIDLIJIB_00115	COG0673	440437	1.77e-70	33.725	MviM	Predicted dehydrogenase	R	General function prediction only
NIDLIJIB_00118	COG2963	442203	3.47e-24	47.059	InsE	Transposase InsE and inactivated derivatives	X	Mobilome: prophages, transposons
NIDLIJIB_00119	COG2801	442053	7.51e-40	45.133	InsO	Transposase InsO of transposable element IS3, Rve (retroviral integrase) family	X	Mobilome: prophages, transposons
NIDLIJIB_00120	COG2801	442053	1.38e-24	38.356	InsO	Transposase InsO of transposable element IS3, Rve (retroviral integrase) family	X	Mobilome: prophages, transposons
NIDLIJIB_00121	COG2085	441688	5.33e-08	35.556		Predicted dinucleotide-binding enzyme	R	General function prediction only
NIDLIJIB_00122	COG1120	440737	7.86e-139	53.571	FepC	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component	P	Inorganic ion transport and metabolism
NIDLIJIB_00123	COG0609	440374	4.51e-93	47.059	FepD	ABC-type Fe3+-siderophore transport system, permease component	P	Inorganic ion transport and metabolism
NIDLIJIB_00124	COG0609	440374	1.89e-80	46.535	FepD	ABC-type Fe3+-siderophore transport system, permease component	P	Inorganic ion transport and metabolism
NIDLIJIB_00125	COG4594	443650	7.91e-135	43.45	FecB	ABC-type Fe3+-citrate transport system, periplasmic component	P	Inorganic ion transport and metabolism
NIDLIJIB_00126	COG4772	443804	0.0	36.522	FecA	Outer membrane receptor for Fe3+-dicitrate	P	Inorganic ion transport and metabolism
NIDLIJIB_00127	COG3712	442926	1.09e-66	36.986	FecR	Periplasmic ferric-dicitrate binding protein FecR, regulates iron transport	P	Inorganic ion transport and metabolism
NIDLIJIB_00128	COG1595	441203	1.44e-40	32.026	RpoE	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family	K	Transcription
NIDLIJIB_00129	COG1662	441268	3.2e-27	49.275	InsB	Transposase and inactivated derivatives, IS1 family	X	Mobilome: prophages, transposons
NIDLIJIB_00130	COG0119	439889	0.0	47.447	LeuA	Isopropylmalate/homocitrate/citramalate synthases	E	Amino acid transport and metabolism
NIDLIJIB_00131	COG0473	440241	0.0	55.462	LeuB	Isocitrate/isopropylmalate dehydrogenase	C	Energy production and conversion
NIDLIJIB_00132	COG0065	439835	0.0	55.556	LeuC	Homoaconitase/3-isopropylmalate dehydratase large subunit	E	Amino acid transport and metabolism
NIDLIJIB_00133	COG0066	439836	7.73e-123	62.312	LeuD	3-isopropylmalate dehydratase small subunit	E	Amino acid transport and metabolism
NIDLIJIB_00134	COG2814	442063	4.97e-23	22.792	AraJ	Predicted arabinose efflux permease AraJ, MFS family	G	Carbohydrate transport and metabolism
NIDLIJIB_00136	COG4533	443600	0.0	56.696	SgrR	DNA-binding transcriptional regulator SgrR of sgrS sRNA, contains a MarR-type HTH domain and a periplasmic-type solute-binding domain	K	Transcription
NIDLIJIB_00137	COG4143	443315	0.0	62.617	TbpA	ABC-type thiamine transport system, periplasmic component TbpA	H	Coenzyme transport and metabolism
NIDLIJIB_00138	COG1178	440791	8.33e-121	33.73	FbpB	ABC-type Fe3+ transport system, permease component	P	Inorganic ion transport and metabolism
NIDLIJIB_00139	COG3840	443051	1.01e-150	65.086	ThiQ	ABC-type thiamine transport system, ATPase component ThiQ	H	Coenzyme transport and metabolism
NIDLIJIB_00140	COG0586	440351	2.71e-39	32.195	DedA	Undecaprenyl phosphate translocase (flippase), DedA/Tvp38 family	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00141	COG2207	441809	2.57e-27	19.106	AraC	AraC-type DNA-binding domain and AraC-containing proteins	K	Transcription
NIDLIJIB_00142	COG1069	440687	0.0	50.272	AraB	Ribulose kinase	G	Carbohydrate transport and metabolism
NIDLIJIB_00143	COG2160	441763	0.0	62.298	AraA	L-arabinose isomerase	G	Carbohydrate transport and metabolism
NIDLIJIB_00144	COG0235	440005	6.85e-70	34.071	AraD	5-methylthioribulose/5-deoxyribulose/Fuculose 1-phosphate aldolase (methionine salvage, sugar degradation)	E	Amino acid transport and metabolism
NIDLIJIB_00145	COG0417	440186	0.0	46.931	PolB	DNA polymerase B elongation subunit	L	Replication, recombination and repair
NIDLIJIB_00146	COG0553	440319	1.37e-112	22.783	HepA	Superfamily II DNA or RNA helicase, SNF2 family	K	Transcription
NIDLIJIB_00147	COG0564	440330	1.16e-80	40.187	RluA	Pseudouridine synthase RluA, 23S rRNA- or tRNA-specific	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00148	COG1076	440694	1.66e-29	50.0	DjlA	DnaJ domain-containing protein	O	Posttranslational modification, protein turnover, chaperones
NIDLIJIB_00149	COG1452	441061	0.0	39.148	LptD	Lipopolysaccharide export system protein LptD/OstA, potential outer membrane flippase	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00150	COG0760	440523	8.25e-46	37.5	SurA	Periplasmic chaperone SurA (peptidyl-prolyl cis-trans isomerase)	O	Posttranslational modification, protein turnover, chaperones
NIDLIJIB_00151	COG1995	441598	0.0	51.964	PdxA	4-hydroxy-L-threonine phosphate dehydrogenase PdxA	H	Coenzyme transport and metabolism
NIDLIJIB_00152	COG0030	439801	6.8e-142	48.162	RsmA	rRNA adenine N6-methylase, includes 16S rRNA A1518 and A1519 N6-dimethyltransferase  RsmA/KsgA/DIM  and 23S rRNA A2058 N6-methylase ErmO/TlrD (may also have DNA glycosylase/AP lyase activity)	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00153	COG2967	442207	1.72e-71	54.622	ApaG	Uncharacterized conserved protein ApaG affecting Mg2+/Co2+ transport	P	Inorganic ion transport and metabolism
NIDLIJIB_00154	COG0639	440404	1.49e-102	47.345	ApaH	Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family	T	Signal transduction mechanisms
NIDLIJIB_00155	COG0262	440032	1.44e-42	40.506	FolA	Dihydrofolate reductase	H	Coenzyme transport and metabolism
NIDLIJIB_00156	COG0475	440243	1.75e-114	42.52	KefB	Kef-type K+ transport system, membrane component KefB	P	Inorganic ion transport and metabolism
NIDLIJIB_00157	COG2249	441850	2.21e-54	36.598	MdaB	Putative NADPH-quinone reductase (modulator of drug activity B)	R	General function prediction only
NIDLIJIB_00158	COG2271	441872	5.67e-38	21.718	UhpC	Sugar phosphate permease	G	Carbohydrate transport and metabolism
NIDLIJIB_00159	COG2440	441981	3.95e-33	40.909	FixX	Ferredoxin-like protein FixX	C	Energy production and conversion
NIDLIJIB_00160	COG0644	440409	1.23e-57	33.43	FixC	Dehydrogenase (flavoprotein)	C	Energy production and conversion
NIDLIJIB_00161	COG2025	441628	8.23e-105	35.093	FixB	Electron transfer flavoprotein, alpha subunit FixB	C	Energy production and conversion
NIDLIJIB_00162	COG2086	441689	7.45e-73	39.08	FixA	Electron transfer flavoprotein, alpha and beta subunits	C	Energy production and conversion
NIDLIJIB_00163	COG1292	440903	2.97e-49	36.42	BetT	Choline-glycine betaine transporter	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00164	COG1292	440903	2.33e-96	35.952	BetT	Choline-glycine betaine transporter	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00165	COG1960	441563	4.3e-122	35.602	CaiA	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	I	Lipid transport and metabolism
NIDLIJIB_00166	COG1804	441409	1.23e-98	30.198	CaiB	Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases	I	Lipid transport and metabolism
NIDLIJIB_00167	COG0318	440087	2.12e-150	33.723	MenE	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)	I	Lipid transport and metabolism
NIDLIJIB_00168	COG1024	440647	6.03e-87	42.292	CaiD	Enoyl-CoA hydratase/carnithine racemase	I	Lipid transport and metabolism
NIDLIJIB_00169	COG0663	440427	2.02e-80	43.529	PaaY	Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily	R	General function prediction only
NIDLIJIB_00172	COG0458	440226	0.0	48.561	CarB	Carbamoylphosphate synthase large subunit	E	Amino acid transport and metabolism
NIDLIJIB_00173	COG0505	440271	0.0	62.5	CarA	Carbamoylphosphate synthase small subunit	E	Amino acid transport and metabolism
NIDLIJIB_00174	COG0289	440058	7.51e-133	55.513	DapB	4-hydroxy-tetrahydrodipicolinate reductase	E	Amino acid transport and metabolism
NIDLIJIB_00175	COG1957	441560	5.67e-130	50.0	URH1	Inosine-uridine nucleoside N-ribohydrolase	F	Nucleotide transport and metabolism
NIDLIJIB_00176	COG0761	440524	1.36e-176	58.131	IspH	4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH	I	Lipid transport and metabolism
NIDLIJIB_00177	COG1047	440668	4.31e-62	43.885	SlpA	Peptidyl-prolyl cis-trans isomerase, FKBP type	O	Posttranslational modification, protein turnover, chaperones
NIDLIJIB_00178	COG0597	440362	6.47e-61	42.581	LspA	Lipoprotein signal peptidase	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00179	COG0060	439830	0.0	53.171	IleS	Isoleucyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00180	COG0196	439966	6.08e-173	52.244	RibF	FAD synthase	H	Coenzyme transport and metabolism
NIDLIJIB_00181	COG0268	440038	2.46e-30	58.621	RpsT	Ribosomal protein S20	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00184	COG3188	442421	5.73e-48	28.061	FimD	Outer membrane usher protein FimD/PapC	N	Cell motility
NIDLIJIB_00185	COG3188	442421	9.1e-14	23.288	FimD	Outer membrane usher protein FimD/PapC	N	Cell motility
NIDLIJIB_00189	COG0583	440348	8.45e-32	22.261	LysR	DNA-binding transcriptional regulator, LysR family	K	Transcription
NIDLIJIB_00190	COG3004	442241	0.0	61.757	NhaA	Na+/H+ antiporter NhaA	C	Energy production and conversion
NIDLIJIB_00192	COG0484	440252	5.43e-43	73.239	DnaJ	DnaJ molecular chaperone, contains DnaJ and DnaJ_C  domains	O	Posttranslational modification, protein turnover, chaperones
NIDLIJIB_00193	COG0443	440212	0.0	62.768	DnaK	Molecular chaperone DnaK (HSP70)	O	Posttranslational modification, protein turnover, chaperones
NIDLIJIB_00195	COG4735	443769	3.26e-17	26.708	YaaW	Uncharacterized conserved protein YaaW, UPF0174 family	S	Function unknown
NIDLIJIB_00196	COG1584	441192	2.72e-71	58.824	SatP	Succinate-acetate transporter SatP	C	Energy production and conversion
NIDLIJIB_00197	COG0521	440287	1.24e-69	42.286	MoaB	Molybdopterin adenylyltransferase MoaB/MogA	H	Coenzyme transport and metabolism
NIDLIJIB_00198	COG0176	439946	1.54e-79	33.224	TalA	Transaldolase/fructose-6-phosphate aldolase	G	Carbohydrate transport and metabolism
NIDLIJIB_00199	COG1115	440732	0.0	49.111	AlsT	Na+/alanine symporter	E	Amino acid transport and metabolism
NIDLIJIB_00200	COG3022	442258	8.2e-155	58.103	YaaA	DNA-binding protein YaaA associated with the oxidative stress response	L	Replication, recombination and repair
NIDLIJIB_00202	COG0498	440264	7.77e-71	33.639	ThrC	Threonine synthase	E	Amino acid transport and metabolism
NIDLIJIB_00203	COG0083	439853	1.92e-135	37.58	ThrB	Homoserine kinase	E	Amino acid transport and metabolism
NIDLIJIB_00204	COG0527	440293	0.0	40.476	MetL1	Aspartate kinase	E	Amino acid transport and metabolism
NIDLIJIB_00205	COG0565	440331	6.84e-64	39.076	TrmJ	tRNA C32,U32 (ribose-2'-O)-methylase TrmJ or a related methyltransferase	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00206	COG0745	440508	1.07e-60	40.0	OmpR	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	T	Signal transduction mechanisms
NIDLIJIB_00207	COG4452	443550	0.0	47.072	CreD	Inner membrane protein CreD involved in colicin E2 resistance	V	Defense mechanisms
